NAME,POS,TEAM,DEPTH,WC,DIV,CONF,SB,Total,Avg,TM TGT %,Catches,Catch %,TD
"DeVonta Smith","WR","PHI",1,"",10,3,9,22,7.3,25.3,15,68.2,1
"JuJu Smith-Schuster","WR","KC",1,"",2,1,9,12,4,11.2,10,83.3,
"A.J. Brown","WR","PHI",1,"",6,8,8,22,7.3,25.3,13,59.1,1
"Dallas Goedert","TE","PHI",1,"",5,6,7,18,6,20.7,16,88.9,1
"Travis Kelce","TE","KC",1,"",17,8,6,31,10.3,29,27,87.1,4
"Kenneth Gainwell","RB","PHI",1,"",2,3,4,9,3,10.3,7,77.8,
"Jerick McKinnon","RB","KC","","","",4,3,7,2.3,6.5,5,71.4,
"Justin Watson","WR","KC","","",1,"",2,3,1.5,2.8,3,100,
"Quez Watkins","WR","PHI",1,"","",1,2,3,1,3.4,1,33.3,
"Zach Pascal","WR","PHI",2,"",1,1,2,4,1.3,4.6,3,75,
"Boston Scott","RB","PHI",2,"","","",1,1,0.3,1.1,1,100,
"Jody Fortson","TE","KC",3,"","","",1,1,0.5,0.9,0,0,
"Kadarius Toney","WR","KC",1,"",7,2,1,10,3.3,9.3,7,70,1
"Miles Sanders","RB","PHI",1,"","",1,1,2,0.7,2.3,1,50,
"Marquez Valdes-Scantling","WR","KC",1,"",2,8,1,11,3.7,10.3,7,63.6,2
"Noah Gray","TE","KC",2,"",2,1,1,4,1.3,3.7,3,75,
"Skyy Moore","WR","KC",1,"",1,7,1,9,3,8.4,5,55.6,1
"Austin Ekeler","RB","LAC",1,4,"","","",4,4,9.3,2,50,
"Andy Isabella","WR","BAL",2,"","","","",0,0,0,0,0,
"Alexander Mattison","RB","MIN",2,1,"","","",1,1,2.5,1,100,
"Adam Thielen","WR","MIN",1,4,"","","",4,4,10,3,75,
"Brandon Aiyuk","WR","SF",1,5,4,1,"",10,3.3,13,6,60,
"Blake Bell","TE","KC","","",2,"","",2,2,1.9,1,50,
"Britain Covey","WR","PHI",2,"","","","",0,0,0,0,0,
"Cole Beasley","WR","BUF","",5,4,"","",9,4.5,11.1,5,55.6,1
"Cameron Brate","TE","TB","",3,"","","",3,3,4.5,1,33.3,1
"Chris Godwin","WR","TB",1,13,"","","",13,13,19.7,10,76.9,
"Cade Johnson","WR","SEA",2,3,"","","",3,3,8.6,3,100,
"Christian Kirk","WR","JAX",1,14,14,"","",28,14,32.6,15,53.6,2
"CeeDee Lamb","WR","DAL",1,6,13,"","",19,9.5,27.1,14,73.7,1
"Chris Manhertz","TE","JAX",2,"","","","",0,0,0,0,0,
"Christian McCaffrey","RB","SF",1,2,8,4,"",14,4.7,18.2,12,85.7,1
"Cade Otton","TE","TB",1,7,"","","",7,7,10.6,4,57.1,
"Colby Parkinson","TE","SEA",3,6,"","","",6,6,17.1,3,50,
"Cedrick Wilson Jr.","WR","MIA",1,1,"","","",1,1,2.2,1,100,
"Charlie Woerner","TE","SF",2,"","","","",0,0,0,0,0,
"Dan Arnold","TE","JAX","","","","","",0,0,0,0,0,
"Devin Asiasi","TE","CIN",1,"","","","",0,0,0,0,0,
"Daniel Bellinger","TE","NYG",2,2,3,"","",5,2.5,8.1,3,60,1
"DeAndre Carter","WR","LAC","",3,"","","",3,3,7,2,66.7,
"Dalvin Cook","RB","MIN",1,7,"","","",7,7,17.5,6,85.7,
"DeeJay Dallas","RB","SEA",2,"","","","",0,0,0,0,0,
"Danny Gray","WR","SF",2,"","","","",0,0,0,0,0,
"Dawson Knox","TE","BUF",1,5,7,"","",12,6,14.8,8,66.7,1
"DK Metcalf","WR","SEA",1,13,"","","",13,13,37.1,10,76.9,2
"Donald Parham Jr.","TE","LAC",2,5,"","","",5,5,11.6,4,80,
"Demarcus Robinson","WR","BAL","",3,"","","",3,3,10.3,2,66.7,1
"Deebo Samuel","WR","SF",1,9,7,6,"",22,7.3,28.6,13,59.1,1
"Dalton Schultz","TE","DAL",1,8,10,"","",18,9,25.7,12,66.7,3
"Devin Singletary","RB","BUF",2,"",8,"","",8,4,9.9,5,62.5,
"Darius Slayton","WR","NYG",2,8,5,"","",13,6.5,21,5,38.5,
"Durham Smythe","TE","MIA",1,1,"","","",1,1,2.2,1,100,
"Deven Thompkins","WR","TB",2,"","","","",0,0,0,0,0,
"Dareke Young","WR","SEA",2,1,"","","",1,1,2.9,1,100,
"Ezekiel Elliott","RB","DAL","",2,4,"","",6,3,8.6,3,50,
"Evan Engram","TE","JAX",1,11,6,"","",17,8.5,19.8,12,70.6,1
"Elijah Mitchell","RB","SF",2,3,"","","",3,1.5,3.9,2,66.7,1
"Giovani Bernard","RB","TB","","","","","",0,0,0,0,0,
"Gary Brightwell","RB","NYG",3,"","","","",0,0,0,0,0,
"Grant Calcaterra","TE","PHI",3,"","","","",0,0,0,0,0,
"Gabe Davis","WR","BUF",1,9,4,"","",13,6.5,16,8,61.5,1
"Gus Edwards","RB","BAL",2,1,"","","",1,1,3.4,1,100,
"Gerald Everett","TE","LAC",1,8,"","","",8,8,18.6,6,75,1
"Godwin Igwebuike","RB","SEA","","","","","",0,0,0,0,0,
"George Kittle","TE","SF",1,2,5,4,"",11,3.7,14.3,10,90.9,
"Hayden Hurst","TE","CIN",1,6,6,5,"",17,5.7,15.6,13,76.5,1
"Hunter Long","TE","MIA",3,1,"","","",1,1,2.2,0,0,
"Isaiah Hodgins","WR","NYG",1,9,2,"","",11,5.5,17.7,9,81.8,1
"Isaiah Likely","TE","BAL",2,"","","","",0,0,0,0,0,
"Isaiah McKenzie","WR","BUF",1,"",2,"","",2,2,2.5,2,100,
"Isiah Pacheco","RB","KC",1,"",1,6,"",7,2.3,6.5,6,85.7,
"Irv Smith Jr.","TE","MIN","",2,"","","",2,2,5,1,50,1
"Jamal Agnew","WR","JAX",2,1,3,"","",4,2,4.7,3,75,
"John Brown","WR","BUF","",1,"","","",1,1,1.2,0,0,
"Ja'Marr Chase","WR","CIN",1,12,8,8,"",28,9.3,25.7,20,71.4,2
"James Cook","RB","BUF",1,"","","","",0,0,0,0,0,
"J.K. Dobbins","RB","BAL",1,5,"","","",5,5,17.2,4,80,1
"Jake Ferguson","TE","DAL",1,1,"","","",1,0.5,1.4,1,100,
"JaMycal Hasty","RB","JAX",2,"",2,"","",2,1,2.3,1,50,
"Justice Hill","RB","BAL",3,2,"","","",2,2,6.9,2,100,
"Justin Jefferson","WR","MIN",1,9,"","","",9,9,22.5,7,77.8,
"Jauan Jennings","WR","SF",1,5,2,"","",7,2.3,9.1,4,57.1,
"Julio Jones","WR","TB","",11,"","","",11,11,16.7,7,63.6,1
"Joshua Kelley","RB","LAC",2,1,"","","",1,1,2.3,1,100,
"Jordan Mason","RB","SF",3,"","","","",0,0,0,0,0,
"Joe Mixon","RB","CIN",1,4,3,3,"",10,3.3,9.2,8,80,
"Johnny Mundt","TE","MIN",3,1,"","","",1,1,2.5,1,100,
"Jalen Nailor","WR","MIN",1,"","","","",0,0,0,0,0,
"Josh Oliver","TE","BAL",2,2,"","","",2,2,6.9,2,100,
"Joshua Palmer","WR","LAC",1,6,"","","",6,6,14,2,33.3,
"James Proche II","WR","BAL",2,"","","","",0,0,0,0,0,
"Jalen Reagor","WR","MIN",2,"","","","",0,0,0,0,0,
"Jack Stoll","TE","PHI",2,"","",1,"",1,0.3,1.1,1,100,
"Jaylen Waddle","WR","MIA",1,7,"","","",7,7,15.6,3,42.9,
"Jeff Wilson Jr.","RB","MIA",2,4,"","","",4,4,8.9,1,25,
"Keenan Allen","WR","LAC",1,13,"","","",13,13,30.2,6,46.2,
"Kenny Golladay","WR","NYG","","","","","",0,0,0,0,0,
"Ko Kieft","TE","TB",2,1,"","","",1,1,1.5,0,0,
"Kene Nwangwu","RB","MIN",3,"","","","",0,0,0,0,0,
"K.J. Osborn","WR","MIN",1,3,"","","",3,3,7.5,2,66.7,1
"Khalil Shakir","WR","BUF",1,5,2,"","",7,3.5,8.6,5,71.4,
"KaVontae Turpin","WR","DAL",2,"",1,"","",1,0.5,1.4,1,100,
"Ke'Shawn Vaughn","RB","TB",3,"","","","",0,0,0,0,0,
"Kenneth Walker III","RB","SEA",1,1,"","","",1,1,2.9,1,100,
"Lawrence Cager","TE","NYG",3,2,1,"","",3,1.5,4.8,2,66.7,
"Luke Farrell","TE","JAX",2,"","","","",0,0,0,0,0,
"Leonard Fournette","RB","TB","",1,"","","",1,1,1.5,1,100,
"Larry Rountree III","RB","LAC",5,"","","","",0,0,0,0,0,
"Laquon Treadwell","WR","SEA","","","","","",0,0,0,0,0,
"Mark Andrews","TE","BAL",1,10,"","","",10,10,34.5,5,50,
"Michael Bandy","WR","LAC","","","","","",0,0,0,0,0,
"Matt Breida","RB","NYG",2,"",1,"","",1,0.5,1.6,1,100,
"Malik Davis","RB","DAL",4,"","","","",0,0,0,0,0,
"Mike Evans","WR","TB",1,11,"","","",11,11,16.7,6,54.5,
"Michael Gallup","WR","DAL",1,6,3,"","",9,4.5,12.9,5,55.6,1
"Mike Gesicki","TE","MIA",2,6,"","","",6,6,13.3,2,33.3,1
"Mecole Hardman","WR","KC",1,"","",3,"",3,3,2.8,2,66.7,
"Marcus Johnson","WR","NYG","","",1,"","",1,0.5,1.6,1,100,
"Marvin Jones Jr.","WR","JAX","",6,3,"","",9,4.5,10.5,4,44.4,1
"Marcus Kemp","WR","KC",3,"","",1,"",1,0.5,0.9,1,100,
"Mitchell Wilcox","TE","CIN","","",2,2,"",4,1.3,3.7,2,50,
"Noah Brown","WR","DAL",1,2,2,"","",4,2,5.7,4,100,
"Noah Fant","TE","SEA",1,2,"","","",2,2,5.7,1,50,
"Nyheim Hines","RB","BUF",3,2,1,"","",3,1.5,3.7,2,66.7,
"Nick Vannett","TE","NYG","","","","","",0,0,0,0,0,
"Peyton Hendershot","TE","DAL",2,"","","","",0,0,0,0,0,
"Quintin Morris","TE","BUF",2,1,2,"","",3,1.5,3.7,2,66.7,
"River Cracraft","WR","MIA",2,"","","","",0,0,0,0,0,
"Ross Dwelley","TE","SF",3,"","","","",0,0,0,0,0,
"Russell Gage","WR","TB",1,8,"","","",8,8,12.1,2,25,
"Richie James","WR","NYG","",6,10,"","",16,8,25.8,11,68.8,
"Ronald Jones","RB","KC",2,"","","","",0,0,0,0,0,
"Ray-Ray McCloud III","WR","SF",2,"","","","",0,0,0,0,0,
"Rachaad White","RB","TB",1,6,"","","",6,6,9.1,4,66.7,
"Salvon Ahmed","RB","MIA",3,5,"","","",5,5,11.1,3,60,
"Saquon Barkley","RB","NYG",1,6,3,"","",9,4.5,14.5,7,77.8,
"Snoop Conner","RB","JAX",2,"","","","",0,0,0,0,0,
"Stefon Diggs","WR","BUF",1,9,10,"","",19,9.5,23.5,11,57.9,
"Sean McKeon","TE","DAL",3,"","","","",0,0,0,0,0,
"Scotty Miller","WR","TB","","","","","",0,0,0,0,0,
"Stanley Morgan","WR","CIN",2,"","","","",0,0,0,0,0,
"Samaje Perine","RB","CIN",2,1,5,4,"",10,3.3,9.2,8,80,
"Sammy Watkins","WR","BAL","",3,"","","",3,3,10.3,1,33.3,
"Tyler Boyd","WR","CIN",1,3,2,2,"",7,2.3,6.4,6,85.7,
"Tevin Coleman","RB","SF","","","","","",0,0,0,0,0,
"Travis Etienne Jr.","RB","JAX",1,1,3,"","",4,2,4.7,4,100,
"Tee Higgins","WR","CIN",1,6,4,11,"",21,7,19.3,13,61.9,1
"Tyreek Hill","WR","MIA",1,15,"","","",15,15,33.3,7,46.7,
"T.Y. Hilton","WR","DAL","",4,1,"","",5,2.5,7.1,3,60,
"T.J. Hockenson","TE","MIN",1,11,"","","",11,11,27.5,10,90.9,
"Trenton Irwin","WR","CIN",2,"",2,2,"",4,1.3,3.7,2,50,
"Tim Jones","WR","JAX","","","","","",0,0,0,0,0,
"Taiwan Jones","RB","BUF","","","","","",0,0,0,0,0,
"Tyler Kroft","TE","SF","","","","","",0,0,0,0,0,
"Tyler Lockett","WR","SEA",1,8,"","","",8,8,22.9,6,75,
"Tyler Mabry","TE","SEA",4,"","","","",0,0,0,0,0,
"Tre' McKitty","TE","LAC",3,2,"","","",2,2,4.7,2,100,
"Tony Pollard","RB","DAL",1,3,3,"","",6,3,8.6,5,83.3,
"Trent Sherfield","WR","MIA",2,2,"","","",2,2,4.4,0,0,
"Trent Taylor","WR","CIN",2,"","","","",0,0,0,0,0,
"Trayveon Williams","RB","CIN",2,"","","","",0,0,0,0,0,
"Zay Jones","WR","JAX",1,13,7,"","",20,10,23.3,13,65,1